Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Alexander Estates,40.4631489,-89.02465725139234,Owen's Nursery,40.465250173517624,-89.0254078434312,Garden Center
Alexander Estates,40.4631489,-89.02465725139234,8th green @ The Den,40.465413928400956,-89.02867451198149,Golf Course
Breckenridge Village,40.464683799999996,-88.92244521741823,Subway,40.46224351445442,-88.92172939748139,American Restaurant
Breckenridge Village,40.464683799999996,-88.92244521741823,Lake McNiff,40.461061225862,-88.92217386132624,Lake
Breckenridge Village,40.464683799999996,-88.92244521741823,Love Kittys,40.469071,-88.92265400000001,Pet Store
Breckenwood Ct,40.462836,-88.92242809109841,Subway,40.46224351445442,-88.92172939748139,American Restaurant
Cherrywood Hilltop,40.495728,-88.960334,Ewing Manor and Theatre,40.49401184026214,-88.96524549120332,Theater
Cherrywood Hilltop,40.495728,-88.960334,Livingston Barger Brandt & Schroeder,40.497902,-88.962552,Lawyer
Cherrywood Hilltop,40.495728,-88.960334,"The Law Offices of Goldfine & Bowles, P.C.",40.497902,-88.962552,Lawyer
Cherrywood Hilltop,40.495728,-88.960334,IAA Bldg cafeteria,40.49753499687001,-88.9565795923023,Food Court
Cherrywood Hilltop,40.495728,-88.960334,Emerson st and towanda ave,40.49408117281291,-88.96424531303795,Intersection
Colton,40.484124,-88.97771999999999,Fred Carlton Field,40.48354861631815,-88.97618355305018,Football Stadium
Colton,40.484124,-88.97771999999999,Bloomington High Tennis Court,40.484534080435445,-88.97320866239512,Tennis Court
Colton,40.484124,-88.97771999999999,Bloomington Junior HS Softball Field,40.48750297461381,-88.97504502088987,Baseball Field
Colton,40.484124,-88.97771999999999,Apartment Mart Inc,40.486789,-88.98197900000001,Residential Building (Apartment / Condo)
Colton,40.484124,-88.97771999999999,King Biscuit,40.487122,-88.982011,BBQ Joint
Crestwicke,40.4104869,-88.96561406117651,Chandi Kesler Photography,40.411992,-88.960526,Photography Studio
Downtown Bloomington,40.48110870000001,-88.99428777208739,"Kelly's Bakery and Cafe, Inc.",40.47925314604049,-88.99454337418555,Sandwich Place
Downtown Bloomington,40.48110870000001,-88.99428777208739,The Lucca Grill,40.482486,-88.992946,Italian Restaurant
Downtown Bloomington,40.48110870000001,-88.99428777208739,Downtown Bloomington Farmers' Market,40.479950354051006,-88.9940486332382,Farmers Market
